Date,Time,Temperature,Dew Point,Humidity,Wind,Wind Speed,Wind Gust,Pressure,Precip.,Condition
2008-01-01,12:00 AM,41 °F,41 °F,100%,S,2 mph,0 mph,30.01 in,0.0 in,Mostly Cloudy
2008-01-01,12:30 AM,41 °F,41 °F,100%,S,3 mph,0 mph,30.01 in,0.0 in,Mostly Cloudy
2008-01-01,1:00 AM,41 °F,41 °F,100%,S,3 mph,0 mph,30.01 in,0.0 in,Cloudy
2008-01-01,1:30 AM,41 °F,41 °F,100%,SSW,3 mph,0 mph,29.98 in,0.0 in,Cloudy
2008-01-01,2:00 AM,41 °F,41 °F,100%,S,3 mph,0 mph,29.98 in,0.0 in,Mostly Cloudy
2008-01-01,2:30 AM,41 °F,41 °F,100%,SSW,3 mph,0 mph,29.98 in,0.0 in,Cloudy
2008-01-01,3:00 AM,41 °F,41 °F,100%,SSW,3 mph,0 mph,29.98 in,0.0 in,Cloudy
2008-01-01,3:30 AM,41 °F,41 °F,100%,SSW,3 mph,0 mph,29.98 in,0.0 in,Cloudy
2008-01-01,4:00 AM,41 °F,39 °F,93%,SW,2 mph,0 mph,29.95 in,0.0 in,Mostly Cloudy
2008-01-01,4:30 AM,41 °F,39 °F,93%,S,2 mph,0 mph,29.95 in,0.0 in,Mostly Cloudy
2008-01-01,5:30 AM,41 °F,39 °F,93%,S,2 mph,0 mph,29.95 in,0.0 in,Cloudy
2008-01-01,6:00 AM,41 °F,39 °F,93%,S,3 mph,0 mph,29.93 in,0.0 in,Cloudy
2008-01-01,6:30 AM,41 °F,39 °F,93%,S,3 mph,0 mph,29.93 in,0.0 in,Cloudy
2008-01-01,7:00 AM,41 °F,39 °F,93%,SSE,3 mph,0 mph,29.93 in,0.0 in,Cloudy
2008-01-01,7:30 AM,39 °F,39 °F,100%,SSE,3 mph,0 mph,29.93 in,0.0 in,Cloudy
2008-01-01,8:00 AM,39 °F,39 °F,100%,VAR,2 mph,0 mph,29.93 in,0.0 in,Cloudy
2008-01-01,8:30 AM,39 °F,39 °F,100%,VAR,2 mph,0 mph,29.93 in,0.0 in,Cloudy
2008-01-01,9:00 AM,39 °F,39 °F,100%,VAR,1 mph,0 mph,29.90 in,0.0 in,Cloudy
2008-01-01,9:30 AM,39 °F,39 °F,100%,VAR,1 mph,0 mph,29.90 in,0.0 in,Cloudy
2008-01-01,10:00 AM,39 °F,39 °F,100%,CALM,0 mph,0 mph,29.90 in,0.0 in,Cloudy
2008-01-01,10:30 AM,39 °F,39 °F,100%,SE,3 mph,0 mph,29.90 in,0.0 in,Cloudy
2008-01-01,11:00 AM,39 °F,39 °F,100%,SSE,3 mph,0 mph,29.90 in,0.0 in,Cloudy
2008-01-01,11:30 AM,39 °F,39 °F,100%,S,3 mph,0 mph,29.90 in,0.0 in,Cloudy
2008-01-01,12:00 PM,41 °F,39 °F,93%,S,3 mph,0 mph,29.90 in,0.0 in,Cloudy
2008-01-01,12:30 PM,41 °F,39 °F,93%,SE,3 mph,0 mph,29.90 in,0.0 in,Cloudy
2008-01-01,1:00 PM,41 °F,39 °F,93%,VAR,2 mph,0 mph,29.87 in,0.0 in,Cloudy
2008-01-01,1:30 PM,41 °F,39 °F,93%,SSE,3 mph,0 mph,29.87 in,0.0 in,Mostly Cloudy
2008-01-01,2:00 PM,41 °F,41 °F,100%,SE,3 mph,0 mph,29.84 in,0.0 in,Mostly Cloudy
2008-01-01,2:30 PM,41 °F,39 °F,93%,VAR,2 mph,0 mph,29.84 in,0.0 in,Mostly Cloudy
2008-01-01,3:05 PM,43 °F,39 °F,87%,SE,3 mph,0 mph,29.84 in,0.0 in,Mostly Cloudy
2008-01-01,3:30 PM,43 °F,39 °F,87%,SE,3 mph,0 mph,29.84 in,0.0 in,Mostly Cloudy
2008-01-01,4:00 PM,43 °F,37 °F,81%,SE,3 mph,0 mph,29.84 in,0.0 in,Mostly Cloudy
2008-01-01,4:30 PM,41 °F,37 °F,87%,SE,5 mph,0 mph,29.84 in,0.0 in,Mostly Cloudy
2008-01-01,5:00 PM,39 °F,36 °F,87%,E,7 mph,0 mph,29.84 in,0.0 in,Mostly Cloudy
2008-01-01,5:30 PM,37 °F,36 °F,93%,SE,9 mph,0 mph,29.84 in,0.0 in,Cloudy
2008-01-01,6:00 PM,37 °F,36 °F,93%,ESE,7 mph,0 mph,29.84 in,0.0 in,Cloudy
2008-01-01,6:30 PM,36 °F,36 °F,100%,ESE,8 mph,0 mph,29.84 in,0.0 in,Cloudy
2008-01-01,7:00 PM,36 °F,34 °F,93%,ESE,8 mph,0 mph,29.81 in,0.0 in,Cloudy
2008-01-01,7:30 PM,36 °F,34 °F,93%,SE,5 mph,0 mph,29.81 in,0.0 in,Cloudy
2008-01-01,8:00 PM,34 °F,0 °F,93%,ESE,6 mph,0 mph,29.84 in,0.0 in,Cloudy
2008-01-01,8:30 PM,34 °F,0 °F,93%,E,6 mph,0 mph,29.81 in,0.0 in,Cloudy
2008-01-01,9:00 PM,0 °F,0 °F,100%,ESE,6 mph,0 mph,29.81 in,0.0 in,Cloudy
2008-01-01,9:30 PM,0 °F,0 °F,100%,E,8 mph,0 mph,29.81 in,0.0 in,Cloudy
2008-01-01,10:00 PM,0 °F,0 °F,100%,ESE,9 mph,0 mph,29.81 in,0.0 in,Cloudy
2008-01-01,10:30 PM,0 °F,30 °F,93%,ESE,10 mph,0 mph,29.81 in,0.0 in,Cloudy
2008-01-01,11:00 PM,0 °F,30 °F,93%,E,12 mph,0 mph,29.81 in,0.0 in,Cloudy
2008-01-01,11:30 PM,0 °F,0 °F,100%,E,12 mph,0 mph,29.81 in,0.0 in,Cloudy
2008-01-02,12:00 AM,34 °F,0 °F,93%,E,12 mph,0 mph,29.78 in,0.0 in,Cloudy
2008-01-02,12:30 AM,34 °F,34 °F,100%,E,13 mph,0 mph,29.78 in,0.0 in,Cloudy
2008-01-02,1:00 AM,34 °F,0 °F,93%,E,5 mph,0 mph,29.78 in,0.0 in,Cloudy
2008-01-02,1:30 AM,34 °F,0 °F,93%,E,5 mph,0 mph,29.75 in,0.0 in,Partly Cloudy
2008-01-02,2:00 AM,32 °F,0 °F,100%,ENE,5 mph,0 mph,29.75 in,0.0 in,Partly Cloudy
2008-01-02,2:30 AM,34 °F,0 °F,93%,E,6 mph,0 mph,29.75 in,0.0 in,Mostly Cloudy
2008-01-02,3:00 AM,34 °F,0 °F,93%,E,10 mph,0 mph,29.75 in,0.0 in,Mostly Cloudy
2008-01-02,3:30 AM,34 °F,0 °F,93%,ESE,10 mph,0 mph,29.75 in,0.0 in,Mostly Cloudy
2008-01-02,4:00 AM,34 °F,30 °F,87%,ESE,10 mph,0 mph,29.72 in,0.0 in,Mostly Cloudy
2008-01-02,4:30 AM,32 °F,30 °F,93%,E,10 mph,0 mph,29.72 in,0.0 in,Mostly Cloudy
2008-01-02,5:00 AM,32 °F,28 °F,87%,E,10 mph,0 mph,29.72 in,0.0 in,Mostly Cloudy
