Datetime,Global_active_power,Global_intensity,Sub_metering_1,Sub_metering_2,Sub_metering_3
2007-01-01 00:00:00,153.038,631.8,0.0,35.0,0.0
2007-01-01 01:00:00,151.404,626.6,0.0,0.0,0.0
2007-01-01 02:00:00,154.94,632.4,0.0,20.0,0.0
2007-01-01 03:00:00,152.5,624.0,0.0,16.0,0.0
2007-01-01 04:00:00,148.544,606.6,0.0,0.0,0.0
2007-01-01 05:00:00,148.574,609.0,0.0,35.0,0.0
2007-01-01 06:00:00,147.348,606.2,0.0,0.0,0.0
2007-01-01 07:00:00,146.832,607.2,0.0,33.0,0.0
2007-01-01 08:00:00,146.504,602.8,0.0,3.0,0.0
2007-01-01 09:00:00,188.768,783.1999999999999,0.0,0.0,722.0
2007-01-01 10:00:00,159.704,666.2,0.0,35.0,149.0
2007-01-01 11:00:00,154.56,647.6,0.0,0.0,0.0
2007-01-01 12:00:00,156.952,656.2,0.0,34.0,0.0
2007-01-01 13:00:00,129.744,542.2,0.0,0.0,0.0
2007-01-01 14:00:00,77.664,336.6,0.0,14.0,543.0
2007-01-01 15:00:00,114.55,475.8,0.0,21.0,1049.0
2007-01-01 16:00:00,83.406,344.8,0.0,0.0,1053.0
2007-01-01 17:00:00,97.924,410.0,0.0,35.0,1037.0
2007-01-01 18:00:00,87.714,362.4,0.0,0.0,1044.0
2007-01-01 19:00:00,43.938,185.2,0.0,28.0,283.0
2007-01-01 20:00:00,24.738,103.0,0.0,7.0,0.0
2007-01-01 21:00:00,26.036,109.8,0.0,0.0,0.0
2007-01-01 22:00:00,26.624,114.4,0.0,36.0,0.0
2007-01-01 23:00:00,26.998,116.4,0.0,0.0,0.0
2007-01-02 00:00:00,26.786,117.8,0.0,35.0,0.0
2007-01-02 01:00:00,26.204,112.6,0.0,0.0,0.0
2007-01-02 02:00:00,25.894,109.6,0.0,0.0,0.0
2007-01-02 03:00:00,27.85,121.4,0.0,35.0,0.0
2007-01-02 04:00:00,62.398,257.2,0.0,0.0,599.0
2007-01-02 05:00:00,42.636,181.6,0.0,34.0,267.0
2007-01-02 06:00:00,26.818,114.0,0.0,0.0,0.0
2007-01-02 07:00:00,24.754,104.8,0.0,2.0,0.0
2007-01-02 08:00:00,27.264,116.6,0.0,32.0,0.0
2007-01-02 09:00:00,25.058,103.8,0.0,0.0,0.0
2007-01-02 10:00:00,26.754,113.4,0.0,35.0,0.0
2007-01-02 11:00:00,25.966,108.6,0.0,0.0,0.0
2007-01-02 12:00:00,25.558,107.8,0.0,4.0,0.0
2007-01-02 13:00:00,27.54,118.8,0.0,30.0,0.0
2007-01-02 14:00:00,26.306,111.4,0.0,0.0,0.0
2007-01-02 15:00:00,86.286,354.2,0.0,38.0,953.0
2007-01-02 16:00:00,87.544,359.4,0.0,0.0,946.0
2007-01-02 17:00:00,128.172,547.2,0.0,4.0,505.0
2007-01-02 18:00:00,118.324,501.8,0.0,30.0,1038.0
2007-01-02 19:00:00,91.098,379.6,0.0,0.0,1053.0
2007-01-02 20:00:00,154.412,651.4,0.0,35.0,1045.0
2007-01-02 21:00:00,79.286,333.8,0.0,0.0,156.0
2007-01-02 22:00:00,31.694,136.4,0.0,27.0,0.0
2007-01-02 23:00:00,44.634,185.0,0.0,7.0,0.0
2007-01-03 00:00:00,67.526,278.6,0.0,0.0,0.0
2007-01-03 01:00:00,54.042,224.8,0.0,34.0,0.0
2007-01-03 02:00:00,18.29,83.2,0.0,0.0,0.0
2007-01-03 03:00:00,19.998,94.8,0.0,34.0,0.0
2007-01-03 04:00:00,17.93,79.2,0.0,1.0,0.0
2007-01-03 05:00:00,57.098,235.2,0.0,0.0,653.0
2007-01-03 06:00:00,20.06,93.0,0.0,34.0,0.0
2007-01-03 07:00:00,18.102,81.8,0.0,0.0,0.0
2007-01-03 08:00:00,19.176,88.8,0.0,34.0,0.0
2007-01-03 09:00:00,36.15,161.6,0.0,0.0,0.0
2007-01-03 10:00:00,52.454,228.6,0.0,0.0,0.0
2007-01-03 11:00:00,58.584,249.4,0.0,34.0,507.0
2007-01-03 12:00:00,83.866,342.8,0.0,0.0,1079.0
2007-01-03 13:00:00,85.196,348.4,0.0,34.0,1084.0
2007-01-03 14:00:00,65.422,272.4,0.0,0.0,764.0
2007-01-03 15:00:00,18.12,85.0,0.0,4.0,0.0
2007-01-03 16:00:00,22.06,108.6,0.0,31.0,0.0
2007-01-03 17:00:00,17.108,75.2,0.0,0.0,0.0
2007-01-03 18:00:00,21.672,104.4,0.0,35.0,0.0
2007-01-03 19:00:00,17.34,77.8,0.0,0.0,0.0
2007-01-03 20:00:00,19.576,92.6,0.0,9.0,0.0
2007-01-03 21:00:00,66.926,284.6,0.0,25.0,0.0
2007-01-03 22:00:00,57.242,237.0,0.0,0.0,160.0
2007-01-03 23:00:00,100.116,412.4,0.0,35.0,518.0
2007-01-04 00:00:00,202.504,845.4,509.0,572.0,0.0
2007-01-04 01:00:00,173.804,726.2,542.0,20.0,0.0
2007-01-04 02:00:00,143.24,589.2,0.0,16.0,0.0
2007-01-04 03:00:00,141.722,583.8000000000001,0.0,0.0,0.0
2007-01-04 04:00:00,142.202,588.6,0.0,36.0,0.0
2007-01-04 05:00:00,140.712,580.6,0.0,0.0,0.0
2007-01-04 06:00:00,141.524,584.0,0.0,24.0,0.0
2007-01-04 07:00:00,139.574,579.8000000000001,0.0,12.0,0.0
2007-01-04 08:00:00,144.228,602.4,0.0,0.0,0.0
2007-01-04 09:00:00,160.024,673.4,0.0,36.0,998.0
2007-01-04 10:00:00,113.882,475.8,0.0,0.0,1059.0
2007-01-04 11:00:00,120.38,504.0,0.0,32.0,1068.0
2007-01-04 12:00:00,243.994,1031.8,0.0,2403.0,1042.0
2007-01-04 13:00:00,212.704,896.6,0.0,2100.0,1053.0
2007-01-04 14:00:00,120.792,503.2,0.0,301.0,1076.0
2007-01-04 15:00:00,52.758,224.8,0.0,40.0,456.0
2007-01-04 16:00:00,197.388,826.8,0.0,1549.0,1058.0
